Airport,Popularity,346 Airports,Airport,Popularity,Actual Frequency %,High to Low,,Popularity,Actual Frequency %,,,Low to High,Airport,Popularity,Actual Frequency %
SBN,125917,140,SBN,125917,0.404624277,,,37500,0.404624277,,,140,DRO,37500,0.404624277
FAR,123894,141,FAR,123894,0.407514451,,,37541,0.407514451,,,141,CHO,37541,0.407514451
AZO,122921,142,AZO,122921,0.410404624,,,38339,0.410404624,,,142,ACT,38339,0.410404624
LNK,122764,143,LNK,122764,0.413294798,,,39072,0.413294798,,,143,OTZ,39072,0.413294798
CRW,116938,144,CRW,116938,0.416184971,,,39323,0.416184971,,,144,ABI,39323,0.416184971
GTF,115689,145,GTF,115689,0.419075145,,,39431,0.419075145,,,145,RDM,39431,0.419075145
RST,113534,146,RST,113534,0.421965318,,,40251,0.421965318,,,146,OME,40251,0.421965318
STT,112655,147,STT,112655,0.424855491,,,43038,0.424855491,,,147,GRK,43038,0.424855491
TOL,111879,148,TOL,111879,0.427745665,,,43806,0.427745665,,,148,YUM,43806,0.427745665
SWF,110161,149,SWF,110161,0.430635838,,,43808,0.430635838,,,149,BMI,43808,0.430635838
AVL,109406,150,AVL,109406,0.433526012,,,45334,0.433526012,,,150,GFK,45334,0.433526012
ILM,109043,151,ILM,109043,0.436416185,,,45521,0.436416185,,,151,ACV,45521,0.436416185
VPS,108565,152,VPS,108565,0.439306358,,,45783,0.439306358,,,152,ELM,45783,0.439306358
FNT,107343,153,FNT,107343,0.442196532,,,46349,0.442196532,,,153,EGE,46349,0.442196532
MSO,106435,154,MSO,106435,0.445086705,,,47464,0.445086705,,,154,ATW,47464,0.445086705
MFR,105530,155,MFR,105530,0.447976879,,,49960,0.447976879,,,155,PFN,49960,0.447976879
BGR,102965,156,BGR,102965,0.450867052,,,50434,0.450867052,,,156,CPR,50434,0.450867052
AGS,102541,157,AGS,102541,0.453757225,,,50465,0.453757225,,,157,HLN,50465,0.453757225
MGM,102334,158,MGM,102334,0.456647399,,,51033,0.456647399,,,158,BGM,51033,0.456647399
RAP,101794,159,RAP,101794,0.459537572,,,51473,0.459537572,,,159,STX,51473,0.459537572
MLU,98078,160,MLU,98078,0.462427746,,,51847,0.462427746,,,160,MOT,51847,0.462427746
KTN,97218,161,KTN,97218,0.465317919,,,52213,0.465317919,,,161,DET,52213,0.465317919
GPT,93361,162,GPT,93361,0.468208092,,,52492,0.468208092,,,162,CMI,52492,0.468208092
TRI,93103,163,TRI,93103,0.471098266,,,53904,0.471098266,,,163,SIT,53904,0.471098266
BIS,91910,164,BIS,91910,0.473988439,,,54151,0.473988439,,,164,LSE,54151,0.473988439
EVV,91423,165,EVV,91423,0.476878613,,,55521,0.476878613,,,165,ERI,55521,0.476878613
AVP,89470,166,AVP,89470,0.479768786,,,62742,0.479768786,,,166,DLH,62742,0.479768786
JAC,87133,167,JAC,87133,0.48265896,,,63123,0.48265896,,,167,FCA,63123,0.48265896
FAY,84823,168,FAY,84823,0.485549133,,,65407,0.485549133,,,168,TVC,65407,0.485549133
PHF,84478,169,PHF,84478,0.488439306,,,66766,0.488439306,,,169,GJT,66766,0.488439306
PIA,83157,170,PIA,83157,0.49132948,,,68303,0.49132948,,,170,ITO,68303,0.49132948
SBP,78583,171,SBP,78583,0.494219653,,,68971,0.494219653,,,171,IDA,68971,0.494219653
PSC,73760,172,PSC,73760,0.497109827,,,69124,0.497109827,,,172,GNV,69124,0.497109827
LFT,73515,173,LFT,73515,0.5,,,70886,0.5,,,173,BFL,70886,0.5
BFL,70886,174,BFL,70886,0.502890173,,,73515,0.502890173,,,174,LFT,73515,0.502890173
GNV,69124,175,GNV,69124,0.505780347,,,73760,0.505780347,,,175,PSC,73760,0.505780347
IDA,68971,176,IDA,68971,0.50867052,,,78583,0.50867052,,,176,SBP,78583,0.50867052
ITO,68303,177,ITO,68303,0.511560694,,,83157,0.511560694,,,177,PIA,83157,0.511560694
GJT,66766,178,GJT,66766,0.514450867,,,84478,0.514450867,,,178,PHF,84478,0.514450867
TVC,65407,179,TVC,65407,0.51734104,,,84823,0.51734104,,,179,FAY,84823,0.51734104
FCA,63123,180,FCA,63123,0.520231214,,,87133,0.520231214,,,180,JAC,87133,0.520231214
DLH,62742,181,DLH,62742,0.523121387,,,89470,0.523121387,,,181,AVP,89470,0.523121387
ERI,55521,182,ERI,55521,0.526011561,,,91423,0.526011561,,,182,EVV,91423,0.526011561
LSE,54151,183,LSE,54151,0.528901734,,,91910,0.528901734,,,183,BIS,91910,0.528901734
SIT,53904,184,SIT,53904,0.531791908,,,93103,0.531791908,,,184,TRI,93103,0.531791908
CMI,52492,185,CMI,52492,0.534682081,,,93361,0.534682081,,,185,GPT,93361,0.534682081
DET,52213,186,DET,52213,0.537572254,,,97218,0.537572254,,,186,KTN,97218,0.537572254
MOT,51847,187,MOT,51847,0.540462428,,,98078,0.540462428,,,187,MLU,98078,0.540462428
STX,51473,188,STX,51473,0.543352601,,,101794,0.543352601,,,188,RAP,101794,0.543352601
BGM,51033,189,BGM,51033,0.546242775,,,102334,0.546242775,,,189,MGM,102334,0.546242775
HLN,50465,190,HLN,50465,0.549132948,,,102541,0.549132948,,,190,AGS,102541,0.549132948
CPR,50434,191,CPR,50434,0.552023121,,,102965,0.552023121,,,191,BGR,102965,0.552023121
PFN,49960,192,PFN,49960,0.554913295,,,105530,0.554913295,,,192,MFR,105530,0.554913295
ATW,47464,193,ATW,47464,0.557803468,,,106435,0.557803468,,,193,MSO,106435,0.557803468
EGE,46349,194,EGE,46349,0.560693642,,,107343,0.560693642,,,194,FNT,107343,0.560693642
ELM,45783,195,ELM,45783,0.563583815,,,108565,0.563583815,,,195,VPS,108565,0.563583815
ACV,45521,196,ACV,45521,0.566473988,,,109043,0.566473988,,,196,ILM,109043,0.566473988
GFK,45334,197,GFK,45334,0.569364162,,,109406,0.569364162,,,197,AVL,109406,0.569364162
BMI,43808,198,BMI,43808,0.572254335,,,110161,0.572254335,,,198,SWF,110161,0.572254335
YUM,43806,199,YUM,43806,0.575144509,,,111879,0.575144509,,,199,TOL,111879,0.575144509
GRK,43038,200,GRK,43038,0.578034682,,,112655,0.578034682,,,200,STT,112655,0.578034682
OME,40251,201,OME,40251,0.580924855,,,113534,0.580924855,,,201,RST,113534,0.580924855
RDM,39431,202,RDM,39431,0.583815029,,,115689,0.583815029,,,202,GTF,115689,0.583815029
ABI,39323,203,ABI,39323,0.586705202,,,116938,0.586705202,,,203,CRW,116938,0.586705202
OTZ,39072,204,OTZ,39072,0.589595376,,,122764,0.589595376,,,204,LNK,122764,0.589595376
ACT,38339,205,ACT,38339,0.592485549,,,122921,0.592485549,,,205,AZO,122921,0.592485549
CHO,37541,206,CHO,37541,0.595375723,,,123894,0.595375723,,,206,FAR,123894,0.595375723
DRO,37500,207,DRO,37500,0.598265896,,,125917,0.598265896,,,207,SBN,125917,0.598265896
TYR,37284,208,TYR,37284,0.601156069,,,127450,0.601156069,,,208,MLB,127450,0.601156069
SGU,37173,209,SGU,37173,0.604046243,,,128385,0.604046243,,,209,LAN,128385,0.604046243
CLL,36852,210,CLL,36852,0.606936416,,,128873,0.606936416,,,210,MRY,128873,0.606936416
BET,36840,211,BET,36840,0.60982659,,,129979,0.60982659,,,211,MFE,129979,0.60982659
HDN,36664,212,HDN,36664,0.612716763,,,133819,0.612716763,,,212,ROA,133819,0.612716763
CSG,36065,213,CSG,36065,0.615606936,,,135244,0.615606936,,,213,BZN,135244,0.615606936
SUN,35773,214,SUN,35773,0.61849711,,,135634,0.61849711,,,214,CHA,135634,0.61849711
ITH,34926,215,ITH,34926,0.621387283,,,139368,0.621387283,,,215,EUG,139368,0.621387283
SUX,34435,216,SUX,34435,0.624277457,,,142206,0.624277457,,,216,LIH,142206,0.624277457
AEX,33813,217,AEX,33813,0.62716763,,,143550,0.62716763,,,217,MBS,143550,0.62716763
FSM,33784,218,FSM,33784,0.630057803,,,144477,0.630057803,,,218,MLI,144477,0.630057803
HTS,33393,219,HTS,33393,0.632947977,,,147653,0.632947977,,,219,KOA,147653,0.632947977
FLG,33154,220,FLG,33154,0.63583815,,,149263,0.63583815,,,220,FWA,149263,0.63583815
LRD,33116,221,LRD,33116,0.638728324,,,154699,0.638728324,,,221,CAK,154699,0.638728324
MTJ,32869,222,MTJ,32869,0.641618497,,,156574,0.641618497,,,222,SGF,156574,0.641618497
LAW,32671,223,LAW,32671,0.644508671,,,157749,0.644508671,,,223,MYR,157749,0.644508671
SPS,32180,224,SPS,32180,0.647398844,,,163187,0.647398844,,,224,GRB,163187,0.647398844
EYW,31607,225,EYW,31607,0.650289017,,,165764,0.650289017,,,225,DAB,165764,0.650289017
GUM,30462,226,GUM,30462,0.653179191,,,166467,0.653179191,,,226,XNA,166467,0.653179191
SJT,30230,227,SJT,30230,0.656069364,,,167764,0.656069364,,,227,JNU,167764,0.656069364
BRO,28597,228,BRO,28597,0.658959538,,,174710,0.658959538,,,228,BIL,174710,0.658959538
CDV,28473,229,CDV,28473,0.661849711,,,187332,0.661849711,,,229,FAI,187332,0.661849711
WRG,28287,230,WRG,28287,0.664739884,,,194399,0.664739884,,,230,TLH,194399,0.664739884
PSG,28254,231,PSG,28254,0.667630058,,,195130,0.667630058,,,231,FSD,195130,0.667630058
YAK,28226,232,YAK,28226,0.670520231,,,210310,0.670520231,,,232,BTV,210310,0.670520231
CLD,27760,233,CLD,27760,0.673410405,,,218786,0.673410405,,,233,HRL,218786,0.673410405
ASE,27272,234,ASE,27272,0.676300578,,,228138,0.676300578,,,234,MOB,228138,0.676300578
ORH,26870,235,ORH,26870,0.679190751,,,228312,0.679190751,,,235,SBA,228312,0.679190751
EKO,24789,236,EKO,24789,0.682080925,,,231968,0.682080925,,,236,CRP,231968,0.682080925
BRW,24669,237,BRW,24669,0.684971098,,,236094,0.684971098,,,237,ABE,236094,0.684971098
TWF,24235,238,TWF,24235,0.687861272,,,236735,0.687861272,,,238,HPN,236735,0.687861272
MOD,23336,239,MOD,23336,0.690751445,,,244147,0.690751445,,,239,SHV,244147,0.690751445
ILE,23192,240,ILE,23192,0.693641618,,,244688,0.693641618,,,240,CID,244688,0.693641618
RDD,23109,241,RDD,23109,0.696531792,,,247873,0.696531792,,,241,AMA,247873,0.696531792
SMX,22689,242,SMX,22689,0.699421965,,,249460,0.699421965,,,242,LEX,249460,0.699421965
SCC,21799,243,SCC,21799,0.702312139,,,259790,0.702312139,,,243,FAT,259790,0.702312139
TXK,21497,244,TXK,21497,0.705202312,,,278348,0.705202312,,,244,PSP,278348,0.705202312
BTM,21328,245,BTM,21328,0.708092486,,,280252,0.708092486,,,245,MSN,280252,0.708092486
PIH,21328,246,PIH,21328,0.710982659,,,284860,0.710982659,,,246,BTR,284860,0.710982659
OAJ,20971,247,OAJ,20971,0.713872832,,,293445,0.713872832,,,247,ISP,293445,0.713872832
DHN,20700,248,DHN,20700,0.716763006,,,294809,0.716763006,,,248,MAF,294809,0.716763006
ADQ,19362,249,ADQ,19362,0.719653179,,,296327,0.719653179,,,249,LGB,296327,0.719653179
DBQ,18654,250,DBQ,18654,0.722543353,,,297986,0.722543353,,,250,PNS,297986,0.722543353
OXR,18538,251,OXR,18538,0.725433526,,,303223,0.725433526,,,251,HSV,303223,0.725433526
SPN,17968,252,SPN,17968,0.728323699,,,306058,0.728323699,,,252,PWM,306058,0.728323699
LYH,17856,253,LYH,17856,0.731213873,,,314415,0.731213873,,,253,OGG,314415,0.731213873
GGG,17443,254,GGG,17443,0.734104046,,,317568,0.734104046,,,254,MDT,317568,0.734104046
ACY,17267,255,ACY,17267,0.73699422,,,319259,0.73699422,,,255,SRQ,319259,0.73699422
BPT,16911,256,BPT,16911,0.739884393,,,321310,0.739884393,,,256,CAE,321310,0.739884393
BQN,16333,257,BQN,16333,0.742774566,,,326121,0.742774566,,,257,LBB,326121,0.742774566
LCH,15793,258,LCH,15793,0.74566474,,,351620,0.74566474,,,258,SAV,351620,0.74566474
ABY,15678,259,ABY,15678,0.748554913,,,359081,0.748554913,,,259,JAN,359081,0.748554913
GTR,14858,260,GTR,14858,0.751445087,,,381176,0.751445087,,,260,TYS,381176,0.751445087
GUC,14602,261,GUC,14602,0.75433526,,,382481,0.75433526,,,261,GSP,382481,0.75433526
MCN,14403,262,MCN,14403,0.757225434,,,398163,0.757225434,,,262,ICT,398163,0.757225434
VLD,14346,263,VLD,14346,0.760115607,,,419142,0.760115607,,,263,DSM,419142,0.760115607
HVN,14260,264,HVN,14260,0.76300578,,,422859,0.76300578,,,264,CHS,422859,0.76300578
CIC,14105,265,CIC,14105,0.765895954,,,449542,0.765895954,,,265,BOI,449542,0.765895954
CWA,13839,266,CWA,13839,0.768786127,,,451738,0.768786127,,,266,MHT,451738,0.768786127
