route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_deptime,second_depdate,second_delay,total_delay
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN1619,7/14/08,1602,5,15
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN2645,7/14/08,2026,-21,-11
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US412,7/14/08,1916,-28,-18
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN2645,7/14/08,2026,-21,-34
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US1550,7/14/08,1218,42,52
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US408,7/14/08,1713,-2,8
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,US128,7/14/08,1554,43,53
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US408,7/14/08,1713,-2,24
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US128,7/14/08,1554,43,69
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US412,7/14/08,1916,-28,-2
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,US1550,7/14/08,1218,42,68
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,UA1540,7/14/08,1247,-7,19
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN2348,7/14/08,1224,23,49
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN1619,7/14/08,1602,5,31
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN1619,7/14/08,1602,5,-8
LAX_SFO_PHX,LAX,SFO,PHX,AA1920,7/12/08,749,26,WN2645,7/14/08,2026,-21,5
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN2348,7/14/08,1224,23,120
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN1619,7/14/08,1602,5,102
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,WN2645,7/14/08,2026,-21,76
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US408,7/14/08,1713,-2,95
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US1550,7/14/08,1218,42,139
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US128,7/14/08,1554,43,140
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,US412,7/14/08,1916,-28,69
LAX_SFO_PHX,LAX,SFO,PHX,WN509,7/12/08,1151,97,UA1540,7/14/08,1247,-7,90
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,UA1540,7/14/08,1247,-7,108
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,US412,7/14/08,1916,-28,-41
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN2348,7/14/08,1224,23,138
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN1619,7/14/08,1602,5,120
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,WN2645,7/14/08,2026,-21,94
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US1550,7/14/08,1218,42,157
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US408,7/14/08,1713,-2,113
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US128,7/14/08,1554,43,158
LAX_SFO_PHX,LAX,SFO,PHX,XE7764,7/12/08,1114,115,US412,7/14/08,1916,-28,87
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US412,7/14/08,1916,-28,88
LAX_SFO_PHX,LAX,SFO,PHX,AA1928,7/12/08,1057,116,US1550,7/14/08,1218,42,158
