rank,route,second_delay,first_delay,secondflight,total_delay,second_deptime,depdate,firstflight,second_depdate,dest,origin,layover,deptime
40,LAX_ORD_JFK,-14,14,1853,0,1/3/08,1/1/08,UA110,B6918,JFK,LAX,ORD,1005
41,LAX_ORD_JFK,13,14,1208,27,1/3/08,1/1/08,UA110,B6908,JFK,LAX,ORD,1005
42,LAX_ORD_JFK,8,14,1603,22,1/3/08,1/1/08,UA110,B6916,JFK,LAX,ORD,1005
43,LAX_ORD_JFK,46,111,1708,157,1/3/08,1/1/08,AA1372,AA2352,JFK,LAX,ORD,1106
44,LAX_ORD_JFK,-14,111,1853,97,1/3/08,1/1/08,AA1372,B6918,JFK,LAX,ORD,1106
45,LAX_ORD_JFK,8,111,1603,119,1/3/08,1/1/08,AA1372,B6916,JFK,LAX,ORD,1106
46,LAX_ORD_JFK,13,111,1208,124,1/3/08,1/1/08,AA1372,B6908,JFK,LAX,ORD,1106
47,LAX_ORD_JFK,33,111,1425,144,1/3/08,1/1/08,AA1372,MQ4138,JFK,LAX,ORD,1106
48,LAX_ORD_JFK,240,111,1335,351,1/3/08,1/1/08,AA1372,OH5466,JFK,LAX,ORD,1106
49,LAX_ORD_JFK,8,111,1736,119,1/3/08,1/1/08,AA1372,OH5366,JFK,LAX,ORD,1106
5,LAX_ORD_JFK,46,-4,1708,42,1/3/08,1/1/08,UA944,AA2352,JFK,LAX,ORD,700
50,LAX_ORD_JFK,240,303,1335,543,1/3/08,1/1/08,AA1740,OH5466,JFK,LAX,ORD,217
51,LAX_ORD_JFK,8,303,1736,311,1/3/08,1/1/08,AA1740,OH5366,JFK,LAX,ORD,217
52,LAX_ORD_JFK,33,303,1425,336,1/3/08,1/1/08,AA1740,MQ4138,JFK,LAX,ORD,217
53,LAX_ORD_JFK,46,303,1708,349,1/3/08,1/1/08,AA1740,AA2352,JFK,LAX,ORD,217
54,LAX_ORD_JFK,13,303,1208,316,1/3/08,1/1/08,AA1740,B6908,JFK,LAX,ORD,217
55,LAX_ORD_JFK,8,303,1603,311,1/3/08,1/1/08,AA1740,B6916,JFK,LAX,ORD,217
56,LAX_ORD_JFK,-14,303,1853,289,1/3/08,1/1/08,AA1740,B6918,JFK,LAX,ORD,217
6,LAX_ORD_JFK,8,-4,1603,4,1/3/08,1/1/08,UA944,B6916,JFK,LAX,ORD,700
7,LAX_ORD_JFK,13,-4,1208,9,1/3/08,1/1/08,UA944,B6908,JFK,LAX,ORD,700
8,LAX_ORD_JFK,46,8,1708,54,1/3/08,1/1/08,UA106,AA2352,JFK,LAX,ORD,856
9,LAX_ORD_JFK,13,8,1208,21,1/3/08,1/1/08,UA106,B6908,JFK,LAX,ORD,856
1,LAX_SFO_PHX,-7,-13,1247,-20,7/14/08,7/12/08,WN3534,UA1540,PHX,LAX,SFO,650
10,LAX_SFO_PHX,42,-9,1218,33,7/14/08,7/12/08,UA1167,US1550,PHX,LAX,SFO,658
11,LAX_SFO_PHX,-28,-9,1916,-37,7/14/08,7/12/08,UA1167,US412,PHX,LAX,SFO,658
12,LAX_SFO_PHX,-2,-9,1713,-11,7/14/08,7/12/08,UA1167,US408,PHX,LAX,SFO,658
13,LAX_SFO_PHX,-7,-9,1247,-16,7/14/08,7/12/08,UA1167,UA1540,PHX,LAX,SFO,658
14,LAX_SFO_PHX,5,-9,1602,-4,7/14/08,7/12/08,UA1167,WN1619,PHX,LAX,SFO,658
15,LAX_SFO_PHX,-21,-9,2026,-30,7/14/08,7/12/08,UA1167,WN2645,PHX,LAX,SFO,658
16,LAX_SFO_PHX,23,-9,1224,14,7/14/08,7/12/08,UA1167,WN2348,PHX,LAX,SFO,658
17,LAX_SFO_PHX,5,-8,1602,-3,7/14/08,7/12/08,UA889,WN1619,PHX,LAX,SFO,758
18,LAX_SFO_PHX,23,-8,1224,15,7/14/08,7/12/08,UA889,WN2348,PHX,LAX,SFO,758
19,LAX_SFO_PHX,-21,-8,2026,-29,7/14/08,7/12/08,UA889,WN2645,PHX,LAX,SFO,758
2,LAX_SFO_PHX,23,-13,1224,10,7/14/08,7/12/08,WN3534,WN2348,PHX,LAX,SFO,650
20,LAX_SFO_PHX,43,-8,1554,35,7/14/08,7/12/08,UA889,US128,PHX,LAX,SFO,758
21,LAX_SFO_PHX,42,-8,1218,34,7/14/08,7/12/08,UA889,US1550,PHX,LAX,SFO,758
22,LAX_SFO_PHX,-28,-8,1916,-36,7/14/08,7/12/08,UA889,US412,PHX,LAX,SFO,758
23,LAX_SFO_PHX,-2,-8,1713,-10,7/14/08,7/12/08,UA889,US408,PHX,LAX,SFO,758
24,LAX_SFO_PHX,-7,-8,1247,-15,7/14/08,7/12/08,UA889,UA1540,PHX,LAX,SFO,758
25,LAX_SFO_PHX,-7,10,1247,3,7/14/08,7/12/08,WN3002,UA1540,PHX,LAX,SFO,805
26,LAX_SFO_PHX,23,10,1224,33,7/14/08,7/12/08,WN3002,WN2348,PHX,LAX,SFO,805
27,LAX_SFO_PHX,5,10,1602,15,7/14/08,7/12/08,WN3002,WN1619,PHX,LAX,SFO,805
28,LAX_SFO_PHX,-21,10,2026,-11,7/14/08,7/12/08,WN3002,WN2645,PHX,LAX,SFO,805
29,LAX_SFO_PHX,-28,10,1916,-18,7/14/08,7/12/08,WN3002,US412,PHX,LAX,SFO,805
3,LAX_SFO_PHX,-21,-13,2026,-34,7/14/08,7/12/08,WN3534,WN2645,PHX,LAX,SFO,650
30,LAX_SFO_PHX,42,10,1218,52,7/14/08,7/12/08,WN3002,US1550,PHX,LAX,SFO,805
31,LAX_SFO_PHX,-2,10,1713,8,7/14/08,7/12/08,WN3002,US408,PHX,LAX,SFO,805
32,LAX_SFO_PHX,43,10,1554,53,7/14/08,7/12/08,WN3002,US128,PHX,LAX,SFO,805
33,LAX_SFO_PHX,-2,26,1713,24,7/14/08,7/12/08,AA1920,US408,PHX,LAX,SFO,749
34,LAX_SFO_PHX,43,26,1554,69,7/14/08,7/12/08,AA1920,US128,PHX,LAX,SFO,749
35,LAX_SFO_PHX,-28,26,1916,-2,7/14/08,7/12/08,AA1920,US412,PHX,LAX,SFO,749
36,LAX_SFO_PHX,42,26,1218,68,7/14/08,7/12/08,AA1920,US1550,PHX,LAX,SFO,749
37,LAX_SFO_PHX,-7,26,1247,19,7/14/08,7/12/08,AA1920,UA1540,PHX,LAX,SFO,749
38,LAX_SFO_PHX,23,26,1224,49,7/14/08,7/12/08,AA1920,WN2348,PHX,LAX,SFO,749
39,LAX_SFO_PHX,5,26,1602,31,7/14/08,7/12/08,AA1920,WN1619,PHX,LAX,SFO,749
4,LAX_SFO_PHX,5,-13,1602,-8,7/14/08,7/12/08,WN3534,WN1619,PHX,LAX,SFO,650
40,LAX_SFO_PHX,-21,26,2026,5,7/14/08,7/12/08,AA1920,WN2645,PHX,LAX,SFO,749
41,LAX_SFO_PHX,23,97,1224,120,7/14/08,7/12/08,WN509,WN2348,PHX,LAX,SFO,1151
42,LAX_SFO_PHX,5,97,1602,102,7/14/08,7/12/08,WN509,WN1619,PHX,LAX,SFO,1151
43,LAX_SFO_PHX,-21,97,2026,76,7/14/08,7/12/08,WN509,WN2645,PHX,LAX,SFO,1151
44,LAX_SFO_PHX,-2,97,1713,95,7/14/08,7/12/08,WN509,US408,PHX,LAX,SFO,1151
45,LAX_SFO_PHX,42,97,1218,139,7/14/08,7/12/08,WN509,US1550,PHX,LAX,SFO,1151
46,LAX_SFO_PHX,43,97,1554,140,7/14/08,7/12/08,WN509,US128,PHX,LAX,SFO,1151
47,LAX_SFO_PHX,-28,97,1916,69,7/14/08,7/12/08,WN509,US412,PHX,LAX,SFO,1151
48,LAX_SFO_PHX,-7,97,1247,90,7/14/08,7/12/08,WN509,UA1540,PHX,LAX,SFO,1151
49,LAX_SFO_PHX,-7,115,1247,108,7/14/08,7/12/08,XE7764,UA1540,PHX,LAX,SFO,1114
5,LAX_SFO_PHX,-28,-13,1916,-41,7/14/08,7/12/08,WN3534,US412,PHX,LAX,SFO,650
50,LAX_SFO_PHX,23,115,1224,138,7/14/08,7/12/08,XE7764,WN2348,PHX,LAX,SFO,1114
51,LAX_SFO_PHX,5,115,1602,120,7/14/08,7/12/08,XE7764,WN1619,PHX,LAX,SFO,1114
52,LAX_SFO_PHX,-21,115,2026,94,7/14/08,7/12/08,XE7764,WN2645,PHX,LAX,SFO,1114
53,LAX_SFO_PHX,42,115,1218,157,7/14/08,7/12/08,XE7764,US1550,PHX,LAX,SFO,1114
54,LAX_SFO_PHX,-2,115,1713,113,7/14/08,7/12/08,XE7764,US408,PHX,LAX,SFO,1114
55,LAX_SFO_PHX,43,115,1554,158,7/14/08,7/12/08,XE7764,US128,PHX,LAX,SFO,1114
56,LAX_SFO_PHX,-28,115,1916,87,7/14/08,7/12/08,XE7764,US412,PHX,LAX,SFO,1114
57,LAX_SFO_PHX,-28,116,1916,88,7/14/08,7/12/08,AA1928,US412,PHX,LAX,SFO,1057
58,LAX_SFO_PHX,42,116,1218,158,7/14/08,7/12/08,AA1928,US1550,PHX,LAX,SFO,1057
59,LAX_SFO_PHX,-2,116,1713,114,7/14/08,7/12/08,AA1928,US408,PHX,LAX,SFO,1057
6,LAX_SFO_PHX,43,-13,1554,30,7/14/08,7/12/08,WN3534,US128,PHX,LAX,SFO,650
60,LAX_SFO_PHX,43,116,1554,159,7/14/08,7/12/08,AA1928,US128,PHX,LAX,SFO,1057
61,LAX_SFO_PHX,-7,116,1247,109,7/14/08,7/12/08,AA1928,UA1540,PHX,LAX,SFO,1057
62,LAX_SFO_PHX,5,116,1602,121,7/14/08,7/12/08,AA1928,WN1619,PHX,LAX,SFO,1057
63,LAX_SFO_PHX,23,116,1224,139,7/14/08,7/12/08,AA1928,WN2348,PHX,LAX,SFO,1057
64,LAX_SFO_PHX,-21,116,2026,95,7/14/08,7/12/08,AA1928,WN2645,PHX,LAX,SFO,1057
65,LAX_SFO_PHX,5,159,1602,164,7/14/08,7/12/08,UA157,WN1619,PHX,LAX,SFO,1116
66,LAX_SFO_PHX,23,159,1224,182,7/14/08,7/12/08,UA157,WN2348,PHX,LAX,SFO,1116
67,LAX_SFO_PHX,-21,159,2026,138,7/14/08,7/12/08,UA157,WN2645,PHX,LAX,SFO,1116
68,LAX_SFO_PHX,-28,159,1916,131,7/14/08,7/12/08,UA157,US412,PHX,LAX,SFO,1116
69,LAX_SFO_PHX,42,159,1218,201,7/14/08,7/12/08,UA157,US1550,PHX,LAX,SFO,1116
7,LAX_SFO_PHX,42,-13,1218,29,7/14/08,7/12/08,WN3534,US1550,PHX,LAX,SFO,650
70,LAX_SFO_PHX,43,159,1554,202,7/14/08,7/12/08,UA157,US128,PHX,LAX,SFO,1116
71,LAX_SFO_PHX,-2,159,1713,157,7/14/08,7/12/08,UA157,US408,PHX,LAX,SFO,1116
72,LAX_SFO_PHX,-7,159,1247,152,7/14/08,7/12/08,UA157,UA1540,PHX,LAX,SFO,1116
73,LAX_SFO_PHX,-7,179,1247,172,7/14/08,7/12/08,WN1728,UA1540,PHX,LAX,SFO,1120
74,LAX_SFO_PHX,5,179,1602,184,7/14/08,7/12/08,WN1728,WN1619,PHX,LAX,SFO,1120
75,LAX_SFO_PHX,23,179,1224,202,7/14/08,7/12/08,WN1728,WN2348,PHX,LAX,SFO,1120
76,LAX_SFO_PHX,-21,179,2026,158,7/14/08,7/12/08,WN1728,WN2645,PHX,LAX,SFO,1120
77,LAX_SFO_PHX,42,179,1218,221,7/14/08,7/12/08,WN1728,US1550,PHX,LAX,SFO,1120
78,LAX_SFO_PHX,43,179,1554,222,7/14/08,7/12/08,WN1728,US128,PHX,LAX,SFO,1120
79,LAX_SFO_PHX,-28,179,1916,151,7/14/08,7/12/08,WN1728,US412,PHX,LAX,SFO,1120
8,LAX_SFO_PHX,-2,-13,1713,-15,7/14/08,7/12/08,WN3534,US408,PHX,LAX,SFO,650
80,LAX_SFO_PHX,-2,179,1713,177,7/14/08,7/12/08,WN1728,US408,PHX,LAX,SFO,1120
9,LAX_SFO_PHX,43,-9,1554,34,7/14/08,7/12/08,UA1167,US128,PHX,LAX,SFO,658
10,PBI_DFW_ATL,24,3,1955,27,8/19/08,8/17/08,AA799,AA1332,ATL,PBI,DFW,900
1,SLC_BFL_LAX,20,13,1509,33,4/3/08,4/1/08,OO3755,OO5429,LAX,SLC,BFL,1101
1,DFW_ORD_DFW,-8,-23,1446,-31,6/12/08,6/10/08,UA1104,OO6119,DFW,DFW,ORD,658
10,DFW_ORD_DFW,338,-23,2249,315,6/12/08,6/10/08,UA1104,AA2355,DFW,DFW,ORD,658
100,DFW_ORD_DFW,29,7,2036,36,6/12/08,6/10/08,AA2320,UA725,DFW,DFW,ORD,558
101,DFW_ORD_DFW,180,7,2019,187,6/12/08,6/10/08,AA2320,AA2349,DFW,DFW,ORD,558
102,DFW_ORD_DFW,344,7,2335,351,6/12/08,6/10/08,AA2320,AA2357,DFW,DFW,ORD,558
103,DFW_ORD_DFW,59,7,1807,66,6/12/08,6/10/08,AA2320,AA2345,DFW,DFW,ORD,558
104,DFW_ORD_DFW,15,7,1205,22,6/12/08,6/10/08,AA2320,AA2321,DFW,DFW,ORD,558
105,DFW_ORD_DFW,-5,7,1650,2,6/12/08,6/10/08,AA2320,AA2341,DFW,DFW,ORD,558
106,DFW_ORD_DFW,2,7,1257,9,6/12/08,6/10/08,AA2320,AA2325,DFW,DFW,ORD,558
107,DFW_ORD_DFW,-4,7,1515,3,6/12/08,6/10/08,AA2320,AA2333,DFW,DFW,ORD,558
108,DFW_ORD_DFW,6,7,1416,13,6/12/08,6/10/08,AA2320,AA2331,DFW,DFW,ORD,558
109,DFW_ORD_DFW,178,7,2312,185,6/12/08,6/10/08,AA2320,AA2361,DFW,DFW,ORD,558
11,DFW_ORD_DFW,326,-23,1846,303,6/12/08,6/10/08,UA1104,AA2337,DFW,DFW,ORD,658
110,DFW_ORD_DFW,326,7,1846,333,6/12/08,6/10/08,AA2320,AA2337,DFW,DFW,ORD,558
111,DFW_ORD_DFW,338,7,2249,345,6/12/08,6/10/08,AA2320,AA2355,DFW,DFW,ORD,558
112,DFW_ORD_DFW,8,7,1327,15,6/12/08,6/10/08,AA2320,AA2329,DFW,DFW,ORD,558
113,DFW_ORD_DFW,59,8,1807,67,6/12/08,6/10/08,AA2340,AA2345,DFW,DFW,ORD,1047
114,DFW_ORD_DFW,6,8,1416,14,6/12/08,6/10/08,AA2340,AA2331,DFW,DFW,ORD,1047
115,DFW_ORD_DFW,15,8,1205,23,6/12/08,6/10/08,AA2340,AA2321,DFW,DFW,ORD,1047
116,DFW_ORD_DFW,326,8,1846,334,6/12/08,6/10/08,AA2340,AA2337,DFW,DFW,ORD,1047
117,DFW_ORD_DFW,-5,8,1650,3,6/12/08,6/10/08,AA2340,AA2341,DFW,DFW,ORD,1047
118,DFW_ORD_DFW,2,8,1257,10,6/12/08,6/10/08,AA2340,AA2325,DFW,DFW,ORD,1047
119,DFW_ORD_DFW,8,8,1327,16,6/12/08,6/10/08,AA2340,AA2329,DFW,DFW,ORD,1047
12,DFW_ORD_DFW,180,-23,2019,157,6/12/08,6/10/08,UA1104,AA2349,DFW,DFW,ORD,658
120,DFW_ORD_DFW,338,8,2249,346,6/12/08,6/10/08,AA2340,AA2355,DFW,DFW,ORD,1047
121,DFW_ORD_DFW,178,8,2312,186,6/12/08,6/10/08,AA2340,AA2361,DFW,DFW,ORD,1047
122,DFW_ORD_DFW,344,8,2335,352,6/12/08,6/10/08,AA2340,AA2357,DFW,DFW,ORD,1047
123,DFW_ORD_DFW,-4,8,1515,4,6/12/08,6/10/08,AA2340,AA2333,DFW,DFW,ORD,1047
124,DFW_ORD_DFW,180,8,2019,188,6/12/08,6/10/08,AA2340,AA2349,DFW,DFW,ORD,1047
125,DFW_ORD_DFW,21,8,1914,29,6/12/08,6/10/08,AA2340,AA47,DFW,DFW,ORD,1047
126,DFW_ORD_DFW,-8,8,1446,0,6/12/08,6/10/08,AA2340,OO6119,DFW,DFW,ORD,1047
127,DFW_ORD_DFW,34,8,1702,42,6/12/08,6/10/08,AA2340,UA357,DFW,DFW,ORD,1047
128,DFW_ORD_DFW,29,8,2036,37,6/12/08,6/10/08,AA2340,UA725,DFW,DFW,ORD,1047
13,DFW_ORD_DFW,-4,-23,1515,-27,6/12/08,6/10/08,UA1104,AA2333,DFW,DFW,ORD,658
14,DFW_ORD_DFW,2,-23,1257,-21,6/12/08,6/10/08,UA1104,AA2325,DFW,DFW,ORD,658
15,DFW_ORD_DFW,6,-23,1416,-17,6/12/08,6/10/08,UA1104,AA2331,DFW,DFW,ORD,658
16,DFW_ORD_DFW,-5,-23,1650,-28,6/12/08,6/10/08,UA1104,AA2341,DFW,DFW,ORD,658
17,DFW_ORD_DFW,6,-14,1416,-8,6/12/08,6/10/08,AA2328,AA2331,DFW,DFW,ORD,748
18,DFW_ORD_DFW,344,-14,2335,330,6/12/08,6/10/08,AA2328,AA2357,DFW,DFW,ORD,748
19,DFW_ORD_DFW,59,-14,1807,45,6/12/08,6/10/08,AA2328,AA2345,DFW,DFW,ORD,748
2,DFW_ORD_DFW,21,-23,1914,-2,6/12/08,6/10/08,UA1104,AA47,DFW,DFW,ORD,658
20,DFW_ORD_DFW,180,-14,2019,166,6/12/08,6/10/08,AA2328,AA2349,DFW,DFW,ORD,748
21,DFW_ORD_DFW,8,-14,1327,-6,6/12/08,6/10/08,AA2328,AA2329,DFW,DFW,ORD,748
22,DFW_ORD_DFW,2,-14,1257,-12,6/12/08,6/10/08,AA2328,AA2325,DFW,DFW,ORD,748
23,DFW_ORD_DFW,15,-14,1205,1,6/12/08,6/10/08,AA2328,AA2321,DFW,DFW,ORD,748
24,DFW_ORD_DFW,-4,-14,1515,-18,6/12/08,6/10/08,AA2328,AA2333,DFW,DFW,ORD,748
25,DFW_ORD_DFW,178,-14,2312,164,6/12/08,6/10/08,AA2328,AA2361,DFW,DFW,ORD,748
26,DFW_ORD_DFW,338,-14,2249,324,6/12/08,6/10/08,AA2328,AA2355,DFW,DFW,ORD,748
27,DFW_ORD_DFW,-5,-14,1650,-19,6/12/08,6/10/08,AA2328,AA2341,DFW,DFW,ORD,748
