rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
34,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,OH5466,1/3/08,1335,240,253
35,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,OH5366,1/3/08,1736,8,21
36,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,OH5366,1/3/08,1736,8,22
37,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,OH5466,1/3/08,1335,240,254
38,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,MQ4138,1/3/08,1425,33,47
39,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,AA2352,1/3/08,1708,46,60
4,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6918,1/3/08,1853,-14,-18
40,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6918,1/3/08,1853,-14,0
41,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6908,1/3/08,1208,13,27
42,LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6916,1/3/08,1603,8,22
43,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,AA2352,1/3/08,1708,46,157
44,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6918,1/3/08,1853,-14,97
45,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6916,1/3/08,1603,8,119
46,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6908,1/3/08,1208,13,124
47,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,MQ4138,1/3/08,1425,33,144
48,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,OH5466,1/3/08,1335,240,351
49,LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,OH5366,1/3/08,1736,8,119
5,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,AA2352,1/3/08,1708,46,42
50,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,OH5466,1/3/08,1335,240,543
51,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,OH5366,1/3/08,1736,8,311
52,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,MQ4138,1/3/08,1425,33,336
53,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,AA2352,1/3/08,1708,46,349
54,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6908,1/3/08,1208,13,316
55,LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6916,1/3/08,1603,8,311
